Symbol
AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
BRK-B
JPM
LLY
AVGO
V
XOM
MA
COST
NFLX
WMT
JNJ
PG
HD
ABBV
BAC
CVX
KO
PM
MRK
CRM
AMD
ORCL
IBM
GE
LIN
CSCO
TMO
PEP
MCD
ACN
ABT
DHR
QCOM
INTU
TXN
AMGN
CAT
RTX
NOW
ISRG
SPGI
GS
PLTR
BKNG
AXP
BLK
PGR
SYK
HON
LOW
TJX
ADBE
UNP
SCHW
DE
LMT
VRTX
ADI
MMC
GILD
CB
ETN
CI
TMUS
MO
SO
COP
DUK
EOG
MDT
SLB
CME
USB
ICE
CL
AON
SHW
WM
CSX
EMR
PH
MCO
PNC
EQIX
NOC
HCA
ZTS
FDX
NSC
APD
ITW
REGN
ROP
